user_id,plan_type,start_date,end_date
U00001,Basic,2023-06-26,2024-01-22
U00002,Free,2025-08-27,2025-09-26
U00003,Free,2025-07-06,2025-09-04
U00004,Free,2025-01-15,2025-07-14
U00005,Free,2023-01-16,2023-03-17
U00006,Free,2023-01-16,2023-02-15
U00007,Free,2023-01-05,2023-04-05
U00008,Free,2025-08-20,2025-09-19
U00009,Pro,2025-01-20,2025-09-17
U00010,Free,2025-06-18,2025-09-16
U00011,Basic,2023-01-04,2023-05-04
U00012,Free,2025-08-28,2025-09-27
U00013,Free,2025-08-14,2025-09-13
U00014,Free,2023-01-30,2023-03-01
U00015,Free,2023-01-21,2023-09-18
U00016,Free,2023-01-22,2023-12-18
U00017,Pro,2023-03-26,2023-07-24
U00018,Basic,2024-07-12,2025-02-07
U00018,Free,2025-02-07,2025-09-05
U00019,Free,2023-10-26,2024-02-23
U00020,Basic,2023-03-15,2025-02-02
U00021,Basic,2025-02-11,2025-03-13
U00021,Free,2025-03-13,2025-04-12
U00022,Free,2023-01-13,2023-09-10
U00023,Basic,2023-03-16,2023-08-13
U00024,Free,2023-06-13,2024-05-08
U00025,Enterprise,2023-12-28,2024-10-23
U00025,Basic,2024-10-23,2025-09-18
U00026,Free,2025-08-01,2025-08-31
U00027,Free,2023-01-26,2023-04-26
U00028,Free,2024-06-12,2024-12-09
U00029,Free,2025-01-02,2025-08-30
U00030,Free,2023-01-05,2023-02-04
U00031,Basic,2025-02-02,2025-03-04
U00032,Free,2023-01-19,2023-11-15
U00033,Pro,2023-01-06,2024-06-29
U00034,Free,2025-08-27,2025-09-26
U00035,Free,2025-08-28,2025-09-27
U00036,Free,2025-08-08,2025-09-07
U00037,Pro,2023-03-27,2023-05-26
U00038,Free,2023-01-08,2023-05-08
U00039,Basic,2025-05-27,2025-09-24
U00040,Free,2023-11-16,2024-01-15
U00041,Basic,2023-01-11,2023-08-09
U00041,Free,2023-08-09,2024-04-05
U00042,Free,2024-04-17,2024-12-13
U00043,Enterprise,2023-01-04,2025-08-21
U00044,Basic,2025-08-24,2025-09-23
U00045,Free,2023-02-21,2024-05-16
U00046,Enterprise,2025-05-02,2025-08-30
U00047,Free,2023-04-03,2023-10-30
U00048,Basic,2024-06-29,2025-09-22
U00049,Pro,2024-09-12,2025-03-11
U00049,Enterprise,2025-03-11,2025-09-07
U00050,Free,2023-01-22,2023-04-22
U00051,Free,2025-08-28,2025-09-27
U00052,Free,2025-07-28,2025-09-26
U00053,Pro,2025-08-27,2025-09-26
U00054,Free,2025-08-23,2025-09-22
U00055,Free,2025-01-14,2025-09-11
U00056,Free,2025-08-25,2025-09-24
U00057,Basic,2023-01-07,2023-08-05
U00058,Free,2023-01-25,2023-02-24
U00059,Free,2023-01-05,2023-10-02
U00060,Enterprise,2023-04-17,2025-09-03
U00061,Free,2023-07-22,2023-09-20
U00062,Enterprise,2023-02-28,2023-07-28
U00063,Free,2025-08-13,2025-09-12
U00064,Basic,2023-05-29,2025-09-15
U00065,Free,2023-03-07,2023-11-02
U00066,Free,2024-09-01,2025-08-27
U00067,Basic,2023-01-13,2024-01-08
U00068,Free,2025-08-06,2025-09-05
U00069,Basic,2023-01-06,2023-02-05
U00069,Enterprise,2023-02-05,2023-03-07
U00070,Free,2025-08-29,2025-09-28
U00071,Free,2025-07-27,2025-08-26
U00072,Free,2023-01-26,2023-03-27
U00073,Free,2023-01-03,2023-02-02
U00074,Free,2025-08-10,2025-09-09
U00075,Basic,2025-06-17,2025-09-15
U00076,Free,2025-07-04,2025-09-02
U00077,Basic,2025-07-26,2025-09-24
U00078,Free,2023-01-06,2023-02-05
U00079,Free,2023-05-31,2023-07-30
U00080,Free,2023-01-10,2023-02-09
U00081,Free,2025-08-19,2025-09-18
U00082,Pro,2025-03-04,2025-08-31
U00083,Free,2023-04-24,2024-05-18
U00084,Free,2023-01-06,2023-03-07
U00085,Basic,2023-04-02,2023-04-02
U00085,Enterprise,2023-04-02,2023-05-02
U00086,Basic,2023-04-17,2024-09-08
U00087,Free,2025-07-04,2025-09-02
U00088,Free,2025-03-28,2025-06-26
U00089,Free,2025-08-22,2025-09-21
U00090,Basic,2024-02-11,2024-07-10
U00091,Basic,2023-01-11,2023-05-11
U00092,Enterprise,2025-06-23,2025-09-21
U00093,Pro,2025-07-22,2025-09-20
U00094,Enterprise,2024-10-20,2025-09-15
U00095,Free,2025-07-26,2025-09-24
U00096,Pro,2024-04-13,2025-03-09
U00097,Basic,2024-07-07,2025-01-03
U00098,Free,2023-10-15,2025-08-05
U00099,Free,2023-01-04,2023-05-04
U00100,Basic,2023-01-09,2023-04-09
U00101,Free,2023-01-04,2023-03-05
U00102,Free,2025-03-26,2025-05-25
U00103,Pro,2023-04-05,2025-05-24
U00104,Pro,2024-05-27,2024-09-24
U00105,Basic,2025-08-24,2025-09-23
U00106,Free,2023-02-15,2024-04-10
U00107,Free,2023-09-05,2024-11-28
U00108,Basic,2025-07-19,2025-08-18
U00108,Enterprise,2025-08-18,2025-09-17
U00109,Enterprise,2023-02-06,2025-08-24
U00110,Basic,2023-01-07,2023-05-07
U00111,Free,2023-03-14,2023-04-13
U00112,Free,2023-01-17,2023-03-18
U00113,Basic,2025-08-26,2025-08-26
U00113,Enterprise,2025-08-26,2025-09-25
U00114,Free,2025-08-08,2025-09-07
U00115,Pro,2025-03-21,2025-06-19
U00116,Basic,2025-08-20,2025-09-19
U00117,Free,2025-08-07,2025-09-06
U00118,Free,2023-01-23,2023-10-20
U00119,Pro,2025-08-23,2025-09-22
U00120,Free,2024-08-22,2024-10-21
U00121,Free,2025-08-08,2025-09-07
U00122,Basic,2025-08-23,2025-09-22
U00123,Free,2023-04-09,2023-10-06
U00124,Free,2023-01-09,2023-02-08
U00125,Basic,2023-02-05,2024-04-30
U00125,Pro,2024-04-30,2025-07-24
U00126,Free,2023-10-14,2024-05-11
U00127,Free,2025-08-11,2025-09-10
U00128,Basic,2025-08-19,2025-09-18
U00129,Free,2023-01-03,2023-04-03
U00130,Pro,2024-06-02,2025-01-28
U00131,Pro,2023-09-21,2023-09-21
U00131,Basic,2023-09-21,2023-10-21
U00132,Free,2023-02-03,2023-05-04
U00133,Basic,2023-01-11,2023-03-12
U00134,Basic,2023-05-02,2024-02-26
U00135,Free,2025-08-27,2025-09-26
U00136,Free,2023-04-15,2023-05-15
U00137,Free,2024-06-25,2024-12-22
U00138,Free,2025-06-14,2025-09-12
U00139,Free,2023-06-08,2023-12-05
U00140,Pro,2025-08-28,2025-09-27
U00141,Free,2025-08-28,2025-09-27
U00142,Basic,2023-02-17,2024-02-12
U00143,Pro,2024-04-23,2025-09-15
U00144,Basic,2023-03-23,2024-01-17
U00145,Free,2023-03-10,2023-06-08
U00146,Free,2023-01-04,2023-03-05
U00147,Pro,2025-02-06,2025-08-05
U00148,Pro,2024-05-09,2025-01-04
U00148,Enterprise,2025-01-04,2025-09-01
U00149,Free,2023-01-05,2023-03-06
U00150,Basic,2023-03-05,2023-04-04
U00151,Basic,2025-08-24,2025-09-23
U00152,Enterprise,2023-02-10,2025-08-28
U00153,Basic,2023-01-14,2023-02-13
U00154,Free,2024-04-01,2024-11-27
U00155,Free,2025-08-29,2025-09-28
U00156,Basic,2023-02-12,2025-08-30
U00157,Free,2025-05-14,2025-09-11
U00158,Free,2025-07-22,2025-09-20
