user_id,plan_type,billing_date,amount
U00001,Basic,2023-06-26,20
U00001,Basic,2023-07-26,20
U00001,Basic,2023-08-25,20
U00001,Basic,2023-09-24,20
U00001,Basic,2023-10-24,20
U00001,Basic,2023-11-23,20
U00001,Basic,2023-12-23,20
U00002,Free,2025-08-27,0
U00003,Free,2025-07-06,0
U00003,Free,2025-08-05,0
U00004,Free,2025-01-15,0
U00004,Free,2025-02-14,0
U00004,Free,2025-03-16,0
U00004,Free,2025-04-15,0
U00004,Free,2025-05-15,0
U00004,Free,2025-06-14,0
U00005,Free,2023-01-16,0
U00005,Free,2023-02-15,0
U00006,Free,2023-01-16,0
U00007,Free,2023-01-05,0
U00007,Free,2023-02-04,0
U00007,Free,2023-03-06,0
U00008,Free,2025-08-20,0
U00009,Pro,2025-01-20,50
U00009,Pro,2025-02-19,50
U00009,Pro,2025-03-21,50
U00009,Pro,2025-04-20,50
U00009,Pro,2025-05-20,50
U00009,Pro,2025-06-19,50
U00009,Pro,2025-07-19,50
U00009,Pro,2025-08-18,50
U00010,Free,2025-06-18,0
U00010,Free,2025-07-18,0
U00010,Free,2025-08-17,0
U00011,Basic,2023-01-04,20
U00011,Basic,2023-02-03,20
U00011,Basic,2023-03-05,20
U00011,Basic,2023-04-04,20
U00012,Free,2025-08-28,0
U00013,Free,2025-08-14,0
U00014,Free,2023-01-30,0
U00015,Free,2023-01-21,0
U00015,Free,2023-02-20,0
U00015,Free,2023-03-22,0
U00015,Free,2023-04-21,0
U00015,Free,2023-05-21,0
U00015,Free,2023-06-20,0
U00015,Free,2023-07-20,0
U00015,Free,2023-08-19,0
U00016,Free,2023-01-22,0
U00016,Free,2023-02-21,0
U00016,Free,2023-03-23,0
U00016,Free,2023-04-22,0
U00016,Free,2023-05-22,0
U00016,Free,2023-06-21,0
U00016,Free,2023-07-21,0
U00016,Free,2023-08-20,0
U00016,Free,2023-09-19,0
U00016,Free,2023-10-19,0
U00016,Free,2023-11-18,0
U00017,Pro,2023-03-26,50
U00017,Pro,2023-04-25,50
U00017,Pro,2023-05-25,50
U00017,Pro,2023-06-24,50
U00018,Basic,2024-07-12,20
U00018,Basic,2024-08-11,20
U00018,Basic,2024-09-10,20
U00018,Basic,2024-10-10,20
U00018,Basic,2024-11-09,20
U00018,Basic,2024-12-09,20
U00018,Basic,2025-01-08,20
U00018,Free,2025-02-07,0
U00018,Free,2025-03-09,0
U00018,Free,2025-04-08,0
U00018,Free,2025-05-08,0
U00018,Free,2025-06-07,0
U00018,Free,2025-07-07,0
U00018,Free,2025-08-06,0
U00019,Free,2023-10-26,0
U00019,Free,2023-11-25,0
U00019,Free,2023-12-25,0
U00019,Free,2024-01-24,0
U00020,Basic,2023-03-15,20
U00020,Basic,2023-04-14,20
U00020,Basic,2023-05-14,20
U00020,Basic,2023-06-13,20
U00020,Basic,2023-07-13,20
U00020,Basic,2023-08-12,20
U00020,Basic,2023-09-11,20
U00020,Basic,2023-10-11,20
U00020,Basic,2023-11-10,20
U00020,Basic,2023-12-10,20
U00020,Basic,2024-01-09,20
U00020,Basic,2024-02-08,20
U00020,Basic,2024-03-09,20
U00020,Basic,2024-04-08,20
U00020,Basic,2024-05-08,20
U00020,Basic,2024-06-07,20
U00020,Basic,2024-07-07,20
U00020,Basic,2024-08-06,20
U00020,Basic,2024-09-05,20
U00020,Basic,2024-10-05,20
U00020,Basic,2024-11-04,20
U00020,Basic,2024-12-04,20
U00020,Basic,2025-01-03,20
U00021,Basic,2025-02-11,20
U00021,Free,2025-03-13,0
U00022,Free,2023-01-13,0
U00022,Free,2023-02-12,0
U00022,Free,2023-03-14,0
U00022,Free,2023-04-13,0
U00022,Free,2023-05-13,0
U00022,Free,2023-06-12,0
U00022,Free,2023-07-12,0
U00022,Free,2023-08-11,0
U00023,Basic,2023-03-16,20
U00023,Basic,2023-04-15,20
U00023,Basic,2023-05-15,20
U00023,Basic,2023-06-14,20
U00023,Basic,2023-07-14,20
U00024,Free,2023-06-13,0
U00024,Free,2023-07-13,0
U00024,Free,2023-08-12,0
U00024,Free,2023-09-11,0
U00024,Free,2023-10-11,0
U00024,Free,2023-11-10,0
U00024,Free,2023-12-10,0
U00024,Free,2024-01-09,0
U00024,Free,2024-02-08,0
U00024,Free,2024-03-09,0
U00024,Free,2024-04-08,0
U00025,Enterprise,2023-12-28,200
U00025,Enterprise,2024-01-27,200
U00025,Enterprise,2024-02-26,200
U00025,Enterprise,2024-03-27,200
