user_id,signup_date,plan_type,region,acquisition_channel,cac,churned,months_active
U00001,2023-06-26,Basic,North America,Paid Ads,20,1,7
U00002,2025-08-27,Free,North America,Referral,5,1,1
U00003,2025-07-06,Free,Europe,Referral,5,0,2
U00004,2025-01-15,Free,Asia,Organic,0,1,6
U00005,2023-01-16,Free,Asia,Referral,5,1,2
U00006,2023-01-16,Free,North America,Paid Ads,20,1,1
U00007,2023-01-05,Free,Europe,Paid Ads,20,1,3
U00008,2025-08-20,Free,North America,Organic,0,0,1
U00009,2025-01-20,Pro,North America,Paid Ads,20,0,8
U00010,2025-06-18,Free,Asia,Organic,0,0,3
U00011,2023-01-04,Basic,North America,Paid Ads,20,1,4
U00012,2025-08-28,Free,North America,Organic,0,0,1
U00013,2025-08-14,Free,Asia,Organic,0,0,1
U00014,2023-01-30,Free,Other,Paid Ads,20,1,1
U00015,2023-01-21,Free,Asia,Referral,5,1,8
U00016,2023-01-22,Free,North America,Referral,5,1,11
U00017,2023-03-26,Pro,Asia,Referral,5,1,4
U00018,2024-07-12,Basic,Asia,Referral,5,0,14
U00019,2023-10-26,Free,North America,Paid Ads,20,1,4
U00020,2023-03-15,Basic,Asia,Referral,5,1,23
U00021,2025-02-11,Basic,North America,Organic,0,1,2
U00022,2023-01-13,Free,Europe,Organic,0,1,8
U00023,2023-03-16,Basic,North America,Paid Ads,20,1,5
U00024,2023-06-13,Free,North America,Organic,0,1,11
U00025,2023-12-28,Enterprise,Asia,Organic,0,0,21
U00026,2025-08-01,Free,Asia,Organic,0,1,1
U00027,2023-01-26,Free,Other,Referral,5,1,3
U00028,2024-06-12,Free,Europe,Referral,5,1,6
U00029,2025-01-02,Free,Europe,Referral,5,0,8
U00030,2023-01-05,Free,Asia,Organic,0,1,1
U00031,2025-02-02,Basic,Europe,Organic,0,1,1
U00032,2023-01-19,Free,North America,Paid Ads,20,1,10
U00033,2023-01-06,Pro,North America,Referral,5,1,18
U00034,2025-08-27,Free,North America,Paid Ads,20,0,1
U00035,2025-08-28,Free,Asia,Referral,5,1,1
U00036,2025-08-08,Free,Asia,Organic,0,0,1
U00037,2023-03-27,Pro,Europe,Organic,0,1,2
U00038,2023-01-08,Free,Other,Organic,0,1,4
U00039,2025-05-27,Basic,Asia,Paid Ads,20,0,4
U00040,2023-11-16,Free,Asia,Organic,0,1,2
U00041,2023-01-11,Basic,North America,Paid Ads,20,1,15
U00042,2024-04-17,Free,North America,Organic,0,1,8
U00043,2023-01-04,Enterprise,North America,Paid Ads,20,0,32
U00044,2025-08-24,Basic,North America,Referral,5,0,1
U00045,2023-02-21,Free,North America,Paid Ads,20,1,15
U00046,2025-05-02,Enterprise,North America,Paid Ads,20,0,4
U00047,2023-04-03,Free,Asia,Organic,0,1,7
U00048,2024-06-29,Basic,Asia,Organic,0,0,15
U00049,2024-09-12,Pro,Asia,Paid Ads,20,0,12
U00050,2023-01-22,Free,North America,Paid Ads,20,1,3
U00051,2025-08-28,Free,North America,Organic,0,0,1
U00052,2025-07-28,Free,Europe,Referral,5,1,2
U00053,2025-08-27,Pro,North America,Referral,5,0,1
U00054,2025-08-23,Free,Asia,Referral,5,0,1
U00055,2025-01-14,Free,North America,Paid Ads,20,0,8
U00056,2025-08-25,Free,North America,Paid Ads,20,0,1
U00057,2023-01-07,Basic,Asia,Paid Ads,20,1,7
U00058,2023-01-25,Free,Asia,Organic,0,1,1
U00059,2023-01-05,Free,North America,Paid Ads,20,1,9
U00060,2023-04-17,Enterprise,North America,Organic,0,0,29
U00061,2023-07-22,Free,Asia,Referral,5,1,2
U00062,2023-02-28,Enterprise,Asia,Paid Ads,20,1,5
U00063,2025-08-13,Free,Europe,Paid Ads,20,0,1
U00064,2023-05-29,Basic,Asia,Referral,5,0,28
U00065,2023-03-07,Free,North America,Organic,0,1,8
U00066,2024-09-01,Free,Europe,Paid Ads,20,0,12
U00067,2023-01-13,Basic,Other,Referral,5,1,12
U00068,2025-08-06,Free,North America,Organic,0,0,1
U00069,2023-01-06,Basic,North America,Paid Ads,20,1,2
U00070,2025-08-29,Free,Europe,Paid Ads,20,0,1
U00071,2025-07-27,Free,Other,Paid Ads,20,1,1
U00072,2023-01-26,Free,Europe,Referral,5,1,2
U00073,2023-01-03,Free,Europe,Paid Ads,20,1,1
U00074,2025-08-10,Free,Europe,Paid Ads,20,0,1
U00075,2025-06-17,Basic,North America,Referral,5,0,3
U00076,2025-07-04,Free,Europe,Referral,5,0,2
U00077,2025-07-26,Basic,Other,Organic,0,0,2
U00078,2023-01-06,Free,North America,Referral,5,1,1
U00079,2023-05-31,Free,Europe,Referral,5,1,2
U00080,2023-01-10,Free,North America,Paid Ads,20,1,1
U00081,2025-08-19,Free,North America,Referral,5,0,1
U00082,2025-03-04,Pro,North America,Organic,0,0,6
U00083,2023-04-24,Free,Asia,Referral,5,1,13
U00084,2023-01-06,Free,Europe,Referral,5,1,2
U00085,2023-04-02,Basic,Asia,Referral,5,1,1
